83;86;77;15;93;35;86;92;49;21;62;27;90;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;93;56;11;42;29;73;21;19;84;37;98;24;15;70;
83;77;15;86;35;86;92;49;21;62;27;90;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;93;56;11;42;29;73;21;19;84;37;93;24;15;70;98;
77;15;83;35;86;86;49;21;62;27;90;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;92;56;11;42;29;73;21;19;84;37;93;24;15;70;93;98;
15;77;35;83;86;49;21;62;27;86;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;90;56;11;42;29;73;21;19;84;37;92;24;15;70;93;93;98;
15;35;77;83;49;21;62;27;86;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;86;56;11;42;29;73;21;19;84;37;90;24;15;70;92;93;93;98;
15;35;77;49;21;62;27;83;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;86;56;11;42;29;73;21;19;84;37;86;24;15;70;90;92;93;93;98;
15;35;49;21;62;27;77;59;63;26;40;26;72;36;11;68;67;29;82;30;62;23;67;35;29;2;22;58;69;67;83;56;11;42;29;73;21;19;84;37;86;24;15;70;86;90;92;93;93;98;
15;35;21;49;27;62;59;63;26;40;26;72;36;11;68;67;29;77;30;62;23;67;35;29;2;22;58;69;67;82;56;11;42;29;73;21;19;83;37;84;24;15;70;86;86;90;92;93;93;98;
15;21;35;27;49;59;62;26;40;26;63;36;11;68;67;29;72;30;62;23;67;35;29;2;22;58;69;67;77;56;11;42;29;73;21;19;82;37;83;24;15;70;84;86;86;90;92;93;93;98;
15;21;27;35;49;59;26;40;26;62;36;11;63;67;29;68;30;62;23;67;35;29;2;22;58;69;67;72;56;11;42;29;73;21;19;77;37;82;24;15;70;83;84;86;86;90;92;93;93;98;
15;21;27;35;49;26;40;26;59;36;11;62;63;29;67;30;62;23;67;35;29;2;22;58;68;67;69;56;11;42;29;72;21;19;73;37;77;24;15;70;82;83;84;86;86;90;92;93;93;98;
